submitted_at,incident_type,location,severity,description,media_type,media_path,department,status,acknowledged,latest_update,qid
2026-08-01 08:30:00,Police,Police Zone 1,1,Suspicious person loitering near a school gate after dark.,photo,police_1.png,Police,Created,False,Complaint created and awaiting department review.,1234567
2026-08-01 08:47:00,Police,Police Zone 2,2,Vehicle theft report from a residential parking area.,video,police_2.png,Police,Created,False,Complaint created and awaiting department review.,1234567
2026-08-01 09:04:00,Police,Police Zone 3,3,Break-in alarm triggered at a community market store.,photo,police_3.png,Police,Created,False,Complaint created and awaiting department review.,1234567
2026-08-01 09:21:00,Police,Police Zone 4,4,Domestic disturbance reported near a public housing block.,video,police_4.png,Police,Created,False,Complaint created and awaiting department review.,1234567
2026-08-01 09:38:00,Police,Police Zone 5,1,Street harassment complaint on a busy pedestrian crossing.,photo,police_5.png,Police,Created,False,Complaint created and awaiting department review.,1234567
2026-08-01 08:30:00,Road Maintenance,Road Maintenance Zone 1,1,Large pothole has formed near the bus stop on Al Rayyan Road.,photo,road_maintenance_1.png,Road Maintenance,Created,False,Complaint created and awaiting department review.,1234567
2026-08-01 08:47:00,Road Maintenance,Road Maintenance Zone 2,2,Street sign is missing at a junction near a school zone.,video,road_maintenance_2.png,Road Maintenance,Created,False,Complaint created and awaiting department review.,1234567
2026-08-01 09:04:00,Road Maintenance,Road Maintenance Zone 3,3,Road markings have faded near a major roundabout.,photo,road_maintenance_3.png,Road Maintenance,Created,False,Complaint created and awaiting department review.,1234567
2026-08-01 09:21:00,Road Maintenance,Road Maintenance Zone 4,4,Drainage water is pooling across a lane near a residential area.,video,road_maintenance_4.png,Road Maintenance,Created,False,Complaint created and awaiting department review.,1234567
2026-08-01 09:38:00,Road Maintenance,Road Maintenance Zone 5,1,A damaged speed bump is creating danger for cyclists.,photo,road_maintenance_5.png,Road Maintenance,Created,False,Complaint created and awaiting department review.,1234567
2026-08-01 08:30:00,Utilities,Utilities Zone 1,1,Power outage is affecting several homes on a residential street.,photo,utilities_1.png,Utilities,Created,False,Complaint created and awaiting department review.,1234567
2026-08-01 08:47:00,Utilities,Utilities Zone 2,2,Water leakage is visible beside a public park irrigation line.,video,utilities_2.png,Utilities,Created,False,Complaint created and awaiting department review.,1234567
2026-08-01 09:04:00,Utilities,Utilities Zone 3,3,Streetlight is flickering and not operating after sunset.,photo,utilities_3.png,Utilities,Created,False,Complaint created and awaiting department review.,1234567
2026-08-01 09:21:00,Utilities,Utilities Zone 4,4,Low water pressure is affecting a multi-unit apartment block.,video,utilities_4.png,Utilities,Created,False,Complaint created and awaiting department review.,1234567
2026-08-01 09:38:00,Utilities,Utilities Zone 5,1,Exposed electrical cable is seen near a service road.,photo,utilities_5.png,Utilities,Created,False,Complaint created and awaiting department review.,1234567
2026-08-01 08:30:00,Environment Services,Environment Services Zone 1,1,Garbage piled up outside a public bin near a market square.,photo,environment_services_1.png,Environment Services,Created,False,Complaint created and awaiting department review.,1234567
2026-08-01 08:47:00,Environment Services,Environment Services Zone 2,2,Illegal dumping is affecting a roadside green area.,video,environment_services_2.png,Environment Services,Created,False,Complaint created and awaiting department review.,1234567
2026-08-01 09:04:00,Environment Services,Environment Services Zone 3,3,Floodwater is standing beside a pedestrian path after rain.,photo,environment_services_3.png,Environment Services,Created,False,Complaint created and awaiting department review.,1234567
2026-08-01 09:21:00,Environment Services,Environment Services Zone 4,4,Dirty drainage canal is causing odor near a residential block.,video,environment_services_4.png,Environment Services,Created,False,Complaint created and awaiting department review.,1234567
2026-08-01 09:38:00,Environment Services,Environment Services Zone 5,1,Solid waste overflow is blocking a public entrance.,photo,environment_services_5.png,Environment Services,Created,False,Complaint created and awaiting department review.,1234567
